Time,one,two,four,eight,sixteen,thirtytwo
-0.0025,0.1333333,0.06666665,0.041666657499999996,0.04791666249999999,0.04999999812499999,0.040625000625
-0.002499,-0.03333334,0.03333333,0.033333335000000006,0.016666667500000003,-0.0031250024999999976,0.001041665000000002
-0.002498,0.08333334,0.01666667,0.033333337500000004,0.04791667125,0.028125001875,0.019791669375000005
-0.002497,0.0,-0.008333335,-0.0041666675,0.033333329999999994,0.027083334374999997,0.0020833328125
-0.002496,0.0,0.06666665,0.0375,0.03958333,0.027083331875,0.014583333750000002
-0.002495,-0.08333334,-0.033333335000000006,-0.016666667500000003,-0.02500000125,-0.030208334999999996,-0.014583334062500003
-0.002494,0.1,0.00833333,0.0125,-0.0020833350000000004,-1.250000000209417e-9,-0.0130208353125
-0.002493,-0.08333334,-0.033333335000000006,-0.06666667750000001,-0.05625000625000001,-0.03645833750000001,-0.0427083346875
-0.002492,0.01666667,-0.033333335000000006,-3.469446951953614e-18,-0.031249996250000002,-0.03437500125,-0.03229167
-0.002491,0.1,0.03333333,0.020833332500000003,-0.01249999375,-0.006249996874999999,-0.030729166875000002
-0.00249,-0.05,-0.05,-0.06666667500000001,-0.037500003750000004,-0.040625001875000004,-0.0375000021875
-0.002489,0.0,0.025,-0.0333333425,-0.05208333625,-0.053125004375,-0.05885416499999999
-0.002488,-0.06666667,-0.108333335,-0.0791666675,-0.07083333625,-0.047916668750000016,-0.0697916696875
-0.002487,0.01666667,0.025000005000000002,-0.024999989999999996,-0.052083325,-0.062499996249999995,-0.06406249625
-0.002486,-0.1,-0.06666667000000001,-0.06666666,-0.07916666875000002,-0.07604166625000001,-0.06874999906250001
-0.002485,-0.06666667,-0.07500000500000001,-0.06666667750000001,-0.09375000125,-0.06770833687500001,-0.061979172187499994
-0.002484,-0.1,-0.13333335000000002,-0.1291666675,-0.08958333875,-0.084375,-0.08281250062499998
-0.002483,-0.15,-0.125,-0.104166665,-0.0958333375,-0.09687500125,-0.1015625015625
-0.002482,-0.1166667,-0.1416667,-0.175000025,-0.14583334625,-0.100000008125,-0.11145833906250001
-0.002481,-0.08333334,-0.06666667000000001,-0.12500001,-0.10416666875,-0.12187499749999998,-0.1380208303125
-0.00248,-0.1166667,-0.15833335,-0.129166685,-0.1229166725,-0.10937500124999999,-0.10833333499999999
-0.002479,-0.03333334,-0.050000005,-0.0916666775,-0.11250000125000001,-0.115625000625,-0.1109375009375
-0.002478,-0.06666667,-0.08333333500000001,-0.1333333425,-0.1291666675,-0.14270832749999998,-0.12968749906249996
-0.002477,-0.2166667,-0.13333335,-0.104166675,-0.110416675,-0.12708334187499998,-0.1276041753125
-0.002476,-0.1,-0.10833335,-0.141666675,-0.13958333375,-0.125000000625,-0.1406250015625
-0.002475,-0.1333333,-0.175,-0.133333335,-0.11666666249999999,-0.12812500062499999,-0.1312500028125
-0.002474,-0.2166667,-0.1916667,-0.17500001,-0.16875000499999998,-0.16770833375,-0.15729167031249996
-0.002473,-0.1833333,-0.14166665,-0.15000000000000002,-0.18750000000000003,-0.16770833375,-0.15572917125000002
-0.002472,-0.2166667,-0.1916667,-0.1583333425,-0.16666668375000002,-0.156250011875,-0.158854176875
-0.002471,-0.2833334,-0.25000005000000003,-0.212500025,-0.20625,-0.18645834187499996,-0.1750000115625
-0.00247,-0.15,-0.16666665,-0.1499999925,-0.17916665874999999,-0.182291663125,-0.17187499468750003
-0.002469,-0.2666667,-0.25,-0.19166665,-0.17083331249999997,-0.16354166250000002,-0.18437500125000006
-0.002468,-0.1,-0.1,-0.145833325,-0.18541666250000002,-0.20833333125000003,-0.21093750218750001
-0.002467,-0.2,-0.23333335,-0.20416667500000002,-0.1937500125,-0.20104167499999998,-0.19114583656250003
-0.002466,-0.1833333,-0.1833333,-0.16249997500000002,-0.16874999999999998,-0.19166666875,-0.19791667500000007
-0.002465,-0.2166667,-0.175,-0.191666675,-0.20416666249999998,-0.2125,-0.21145833750000007
-0.002464,-0.1,-0.1,-0.129166675,-0.1875000125,-0.20208334624999996,-0.19947916937500001
-0.002463,-0.08333334,-0.17500001999999998,-0.20833336000000002,-0.214583355,-0.20833335249999999,-0.21093751375000006
-0.002462,-0.3,-0.21666665,-0.21666665,-0.22499998749999997,-0.20729166250000006,-0.22447917500000006
-0.002461,-0.2166667,-0.25000005000000003,-0.25833337500000003,-0.2562500375,-0.22812501875000002,-0.21250000125000004
-0.00246,-0.2666667,-0.2666667,-0.25000002499999996,-0.23333334999999997,-0.2437500125,-0.24895834374999998
-0.002459,-0.1166667,-0.1916667,-0.2375,-0.2375000125,-0.22812500625,-0.23802083750000003
-0.002458,-0.1333333,-0.175,-0.1750000175,-0.20208334625,-0.233333341875,-0.24843750843749998
-0.002457,-0.2833334,-0.2416667,-0.24583337500000002,-0.24583335,-0.24166668125000004,-0.23593751062500004
-0.002456,-0.2666667,-0.25,-0.24166667500000003,-0.2395833375,-0.257291675,-0.25833333875
-0.002455,-0.1833333,-0.23333335,-0.250000025,-0.24583335,-0.254166675,-0.26770834374999997
-0.002454,-0.2666667,-0.20833334999999997,-0.241666675,-0.260416675,-0.2781250125,-0.2781250125
-0.002453,-0.3166667,-0.23333335,-0.25833335,-0.266666675,-0.29791667499999996,-0.27447917499999996
-0.002452,-0.3,-0.33333335,-0.279166675,-0.272916675,-0.27395834999999996,-0.2854166875
-0.002451,-0.3166667,-0.38333335,-0.32916670000000003,-0.325000025,-0.3197916812499999,-0.3088541812499999
-0.00245,-0.35,-0.375,-0.3625,-0.3333333375,-0.319791675,-0.308333346875
-0.002449,-0.2666667,-0.24166669999999998,-0.262500025,-0.30625002500000004,-0.33020836249999996,-0.31770835
-0.002448,-0.35,-0.35,-0.320833325,-0.32083333750000004,-0.31562499374999997,-0.31614584375
-0.002447,-0.45,-0.33333335,-0.316666675,-0.32708335,-0.33020835,-0.325520853125
-0.002446,-0.25,-0.25833335,-0.28333335000000004,-0.27916668750000007,-0.30833335625,-0.306770859375
-0.002445,-0.2833334,-0.3666667,-0.37500002499999996,-0.36666668750000003,-0.38020835000000003,-0.346875009375
-0.002444,-0.3166667,-0.30000005,-0.33333337500000004,-0.36458337500000004,-0.3760416937500001,-0.36145835000000004
-0.002443,-0.5333334,-0.40000004999999994,-0.32916667499999996,-0.3729166625,-0.33541666249999996,-0.3453125031249999
-0.002442,-0.3833334,-0.3833334,-0.39166670000000003,-0.36250002500000006,-0.35937502499999996,-0.34739585
-0.002441,-0.4333334,-0.40000005,-0.408333375,-0.4145833625,-0.3812500187499999,-0.3651041875
-0.00244,-0.3166667,-0.30000005,-0.3041667,-0.325000025,-0.3322916875,-0.345312521875
-0.002439,-0.3166667,-0.3166667,-0.32916670000000003,-0.3666667,-0.35937502499999996,-0.3697916875
-0.002438,-0.3333333,-0.35,-0.3375,-0.3583333375,-0.35729168749999995,-0.35625001874999995
-0.002437,-0.4333334,-0.3916667,-0.429166675,-0.4041666875,-0.387500025,-0.37552085625
-0.002436,-0.4166667,-0.43333335,-0.37916669999999997,-0.3479166875,-0.3739583625,-0.34479168437499996
-0.002435,-0.3833334,-0.30833335,-0.375000025,-0.3583333625,-0.35104168125,-0.360416690625
-0.002434,-0.4833333,-0.43333335,-0.4291667,-0.37291670000000005,-0.38125003125,-0.38333335937499996
-0.002433,-0.4,-0.47500000000000003,-0.44583335,-0.44166668750000004,-0.4187500125,-0.40729168437499996
-0.002432,-0.45,-0.4166667,-0.40000002500000004,-0.4229166750000001,-0.3947916875,-0.39947918437499996
-0.002431,-0.3666667,-0.42500000000000004,-0.4166667,-0.412500025,-0.44791669375000004,-0.426562528125
-0.00243,-0.4166667,-0.43333335,-0.441666675,-0.45208335000000005,-0.42083335,-0.4098958468749999
-0.002429,-0.3833334,-0.4166667,-0.41250004999999995,-0.42500002499999995,-0.4270833625,-0.4281250218749999
-0.002428,-0.5166667,-0.45000005,-0.45833337500000004,-0.41458336250000005,-0.4291666937500001,-0.4354166875
-0.002427,-0.45,-0.4,-0.4041667,-0.4229166875,-0.43750003125000003,-0.44947919062500014
-0.002426,-0.4666667,-0.45833335,-0.40833335000000004,-0.43750002500000007,-0.4479167000000001,-0.445312525
-0.002425,-0.3333333,-0.34166664999999996,-0.404166675,-0.42083335000000005,-0.42604168125,-0.4380208468749999
-0.002424,-0.4,-0.4,-0.441666675,-0.44583335,-0.43854168750000005,-0.4479166843749999
-0.002423,-0.5833334,-0.5166667,-0.48333335,-0.460416675,-0.43645834999999994,-0.46093751562499996
-0.002422,-0.5833334,-0.52500005,-0.5166667,-0.4625000375,-0.45625002500000006,-0.45520835625
-0.002421,-0.3666667,-0.45833335000000003,-0.487500025,-0.4666666875,-0.47083334375,-0.4750000125
-0.00242,-0.6333334,-0.52500005,-0.5041667000000001,-0.4687500375000001,-0.48020835625,-0.4838541937500001
-0.002419,-0.3833334,-0.37500005000000003,-0.41666670000000006,-0.4604167,-0.49270835625,-0.478645859375
-0.002418,-0.4,-0.44166665000000005,-0.45,-0.49791666250000005,-0.5031250125,-0.49635418750000004
-0.002417,-0.45,-0.42500000000000004,-0.487500025,-0.49375001250000006,-0.5062500187500001,-0.5135416906250001
-0.002416,-0.5166667,-0.47500005,-0.5166667,-0.49791670000000005,-0.48125003125000004,-0.481250025
-0.002415,-0.4833333,-0.46666665,-0.4875,-0.47708333750000004,-0.48020835000000006,-0.48750001875
-0.002414,-0.4,-0.48333335,-0.537500025,-0.5145833500000001,-0.5135416875000001,-0.5015625218750002
-0.002413,-0.55,-0.53333335,-0.5041667000000001,-0.5000000250000001,-0.49895835625000007,-0.52135419375
-0.002412,-0.45,-0.475,-0.479166675,-0.518750025,-0.51875001875,-0.5177083531250001
-0.002411,-0.5166667,-0.5,-0.5125,-0.51458335,-0.51770835625,-0.51666668125
-0.00241,-0.5,-0.525,-0.49166667500000005,-0.525000025,-0.53541668125,-0.5421875218750003
-0.002409,-0.6333334,-0.5916667,-0.54583335,-0.529166675,-0.5343750187499999,-0.521875021875
-0.002408,-0.55,-0.51666665,-0.5166666750000001,-0.522916675,-0.53645835625,-0.550000028125
-0.002407,-0.5333334,-0.5833334,-0.57500005,-0.5479167125,-0.56041670625,-0.5510416968750002
-0.002406,-0.5666667,-0.58333335,-0.541666675,-0.581250025,-0.5604166875000001,-0.5718750250000001
-0.002405,-0.5833334,-0.5583334,-0.545833375,-0.5604167124999999,-0.561458375,-0.5531250343750002
-0.002404,-0.5666667,-0.5583333500000001,-0.57083335,-0.5687500125,-0.5697916875,-0.5739583593750001
-0.002403,-0.55,-0.5583333500000001,-0.5875000250000001,-0.5854166875000001,-0.56979169375,-0.54791669375
-0.002402,-0.5333334,-0.57500005,-0.5583333749999999,-0.5750000375,-0.5916667000000001,-0.5822917000000002
-0.002401,-0.5,-0.50833335,-0.5500000250000001,-0.6145833625,-0.60937503125,-0.575000034375
-0.0024,-0.5,-0.5,-0.550000025,-0.5541667,-0.5625000375,-0.5796875312499999
-0.002399,-0.45,-0.45833335,-0.5166667,-0.5395833625,-0.56145836875,-0.5671875281250001
-0.002398,-0.6333334,-0.6166667,-0.5541667,-0.5770833624999999,-0.58229169375,-0.5807291968750001
-0.002397,-0.6333334,-0.6583334000000001,-0.6083334,-0.5937500375,-0.5947917,-0.589062528125
-0.002396,-0.5833334,-0.5416667,-0.595833375,-0.5854166999999999,-0.5718750249999999,-0.5802083531250001
-0.002395,-0.6833334,-0.6583334000000001,-0.662500075,-0.6270833874999999,-0.6218750437499999,-0.61718754375
-0.002394,-0.6166667,-0.5916667,-0.58333335,-0.5979167,-0.60000001875,-0.6088541968750001
-0.002393,-0.6333334,-0.5416667000000001,-0.5916667,-0.5916667125,-0.5885416999999998,-0.6052083625
-0.002392,-0.6333334,-0.65000005,-0.620833375,-0.6291667000000001,-0.6145833624999999,-0.63281253125
-0.002391,-0.7,-0.675,-0.63333335,-0.6541667,-0.6531250312500002,-0.6395833593750001
-0.00239,-0.6333334,-0.62500005,-0.637500025,-0.6291667,-0.64166670625,-0.6395833718749999
-0.002389,-0.5,-0.55,-0.579166675,-0.6000000249999999,-0.61875003125,-0.6192708687500003
-0.002388,-0.5833334,-0.5916667,-0.6666667000000001,-0.6104167,-0.61458336875,-0.6083333625
-0.002387,-0.6333334,-0.67500005,-0.6166667,-0.650000025,-0.64062503125,-0.6479166968750002
-0.002386,-0.4833333,-0.575,-0.57083335,-0.6104166875000001,-0.63229169375,-0.6307291937500001
-0.002385,-0.8000001,-0.72500005,-0.68750005,-0.6645833624999999,-0.66458336875,-0.65416669375
-0.002384,-0.6666667,-0.5916667,-0.6625,-0.6354166875,-0.6520833625,-0.6484375281249998
-0.002383,-0.65,-0.6416667,-0.683333375,-0.6729167,-0.67083336875,-0.6734375249999998
-0.002382,-0.6166667,-0.72500005,-0.6666667000000001,-0.681250025,-0.668750025,-0.6739583656249999
-0.002381,-0.55,-0.5916667,-0.6458333749999999,-0.695833375,-0.6750000374999998,-0.6807292062499999
-0.00238,-0.6333334,-0.6833333500000001,-0.7,-0.697916675,-0.67187501875,-0.662500021875
-0.002379,-0.6666667,-0.7333334,-0.73750005,-0.7166667125,-0.6833333687500002,-0.68229170625
-0.002378,-0.55,-0.575,-0.6208333500000001,-0.6791666875000001,-0.678125025,-0.6750000312500001
-0.002377,-0.7166667,-0.70833335,-0.6958333499999999,-0.6916666875,-0.70729170625,-0.69947920625
-0.002376,-0.6833334,-0.70833335,-0.712500025,-0.7104166875,-0.6947917,-0.6838542
-0.002375,-0.6333334,-0.6416667,-0.670833375,-0.6854166999999999,-0.69166669375,-0.6947916999999999
-0.002374,-0.7333333,-0.7,-0.700000025,-0.7000000125,-0.7041666812499999,-0.7062500312499997
-0.002373,-0.7166667,-0.70833335,-0.7166667,-0.7000000375000001,-0.7093750375,-0.7182291937499999
-0.002372,-0.7666667,-0.70833335,-0.758333375,-0.7479167124999999,-0.74166670625,-0.7375000406249999
-0.002371,-0.7666667,-0.7416667,-0.733333375,-0.7437500375,-0.7489583750000001,-0.7369792000000002
-0.00237,-0.7,-0.71666665,-0.695833325,-0.722916675,-0.7416666937499999,-0.7348958624999999
-0.002369,-0.7333333,-0.75833335,-0.7416667,-0.7291667125,-0.717708375,-0.7390625375
-0.002368,-0.7833334,-0.82500005,-0.7458333749999999,-0.7250000375,-0.7322917125,-0.7442708718750001
-0.002367,-0.7166667,-0.6916667,-0.67083335,-0.7000000375000001,-0.7333333750000001,-0.7338542124999999
-0.002366,-0.8666667,-0.8166667000000001,-0.766666675,-0.76458335,-0.75000001875,-0.7442708656249999
-0.002365,-0.7,-0.7500000499999999,-0.7375000249999999,-0.7354167,-0.7322916999999999,-0.7234375375
-0.002364,-0.7333333,-0.6916666499999999,-0.7375,-0.7562500125,-0.7406250249999999,-0.7343750312499999
-0.002363,-0.7666667,-0.7833334000000001,-0.8250000500000001,-0.7916667125000001,-0.7687500562499999,-0.7661458843749999
-0.002362,-0.8166667,-0.7833334,-0.7416666999999999,-0.7375000375,-0.73958335625,-0.75260419375
-0.002361,-0.8000001,-0.8000001,-0.7583333999999999,-0.720833375,-0.72812504375,-0.747395871875
-0.00236,-0.6833334,-0.7166667499999999,-0.7541667249999999,-0.7812500499999999,-0.7729167062500001,-0.7625000374999998
-0.002359,-0.7500001,-0.7416666999999999,-0.7041667249999999,-0.733333375,-0.7468750437499999,-0.767708365625
-0.002358,-0.7500001,-0.76666675,-0.77500005,-0.7791667125,-0.78020838125,-0.790625046875
-0.002357,-0.7666667,-0.7416667,-0.7458333749999999,-0.758333375,-0.7604167125,-0.7625000437500002
-0.002356,-0.85,-0.80000005,-0.78750005,-0.7958333874999999,-0.7739583812499999,-0.7812500437500001
-0.002355,-0.8166667,-0.83333335,-0.808333375,-0.8083333875,-0.7895833874999999,-0.7895833875
-0.002354,-0.7833334,-0.75833335,-0.766666675,-0.7791667125,-0.8041667,-0.7848958718750002
-0.002353,-0.8166667,-0.8416667,-0.83333335,-0.7854166874999999,-0.8125000375,-0.806770875
-0.002352,-0.85,-0.8083333500000001,-0.8333333500000001,-0.8270833750000001,-0.8239583687500001,-0.8229167062500002
-0.002351,-0.7666667,-0.77500005,-0.7791667250000001,-0.7895833875000001,-0.8104167125000001,-0.8151042125000003
-0.00235,-0.8333334,-0.81666675,-0.787500075,-0.7750000374999999,-0.7937500437499999,-0.8062500406249999
-0.002349,-0.7,-0.75833335,-0.8125000250000001,-0.7937500375000001,-0.8041667000000001,-0.7963542093749998
-0.002348,-0.7666667,-0.7833334000000001,-0.808333375,-0.8041667125,-0.80625005,-0.808333378125
-0.002347,-0.85,-0.8916667,-0.8416667,-0.8083333875,-0.80625004375,-0.8104167125
-0.002346,-0.7833334,-0.8083334,-0.845833375,-0.81875005,-0.82604170625,-0.8260417000000002
-0.002345,-0.8833334,-0.8333334,-0.78750005,-0.7937500625,-0.8208333999999999,-0.8328125531249999
-0.002344,-0.9,-0.7833333499999999,-0.795833375,-0.8145833624999999,-0.8250000375000001,-0.8151042156249999
-0.002343,-0.8166667,-0.83333335,-0.820833375,-0.8083333749999999,-0.8125000312499999,-0.8291667031250001
-0.002342,-0.8166667,-0.82500005,-0.8333333749999999,-0.820833375,-0.84583336875,-0.8468750437499999
-0.002341,-0.8833334,-0.8583334,-0.8583333750000001,-0.8687500375,-0.86250004375,-0.847916715625
-0.00234,-0.7166667,-0.7500000499999999,-0.812500025,-0.8479166999999999,-0.8479167,-0.8500000406250001
-0.002339,-0.95,-0.925,-0.88333335,-0.8520833624999999,-0.8562500375000001,-0.850520884375
-0.002338,-0.9,-0.8916667,-0.9041667,-0.8583333625,-0.8447917000000001,-0.8479167031250002
-0.002337,-0.85,-0.85833335,-0.845833375,-0.84375005,-0.8395833750000001,-0.8541667062500001
-0.002336,-0.9,-0.8416667,-0.8791667000000001,-0.868750025,-0.85208336875,-0.8755208625000002
-0.002335,-0.85,-0.88333335,-0.858333375,-0.8416667,-0.8520833687500001,-0.8604167031250001
-0.002334,-0.9166667,-0.9083333499999999,-0.887500025,-0.8625000375,-0.8635417,-0.87239586875
-0.002333,-0.9666667,-0.9083333499999999,-0.8833333499999999,-0.8770833499999999,-0.9041666874999998,-0.8833333687499997
