lnL,errlnL,lnM,errlnM,lnD,errlnD
3.3678703775460894,0.003722424295466911,1.0284282318110063,0.004128845786814953,3.565251243659199,0.02553679205329538
3.2587373582933328,0.004811014312753024,0.8241754429663494,0.004385964912280702,3.375708618894989,0.030119548096265686
3.1354942159291497,0.004347826086956522,0.5709795465857378,0.005649717514124294,3.2524008612264392,0.01264241166682265
2.9965652598578845,0.0053961204816052365,0.29266961396282004,0.007462686567164179,3.1486250196571333,0.05660319979175249
2.834193255942567,0.006347444366707039,-0.030459207484708574,0.010309278350515464,3.0076526098662555,0.05815360495407976
2.6390573296152584,0.008451542547285144,-0.4155154439616658,0.015151515151515152,2.8997535369820544,0.03961030824756539
2.3978952727983707,0.009090909090909092,-0.916290731874155,0.024999999999999998,2.7047335961321646,0.0550933243854093
2.077356035188814,0.013529730059306562,-1.5606477482646683,0.04761904761904762,2.36488673919123,0.036281870396519464
1.6094379124341003,0.02,-2.5257286443082556,0.125,2.019558832078459,0.04049665055131798
1.0986122886681098,0.03333333333333333,-3.912023005428146,0.5,1.1369244695728091,0.06808123660366522
