MaxValue	signal_input	speedMotor
1023	303	75
1023	362	90
1023	414	103
1023	465	115
1023	503	125
1023	569	141
1023	620	154
1023	659	164
1023	723	180
1023	775	193
1023	816	203
1023	865	215
1023	928	231
1023	974	242
1023	0	0
1023	59	14
1023	111	27
1023	162	40
1023	215	53
1023	264	65
1023	317	79
1023	368	91
1023	420	104
1023	465	115
1023	524	130
1023	576	143
1023	618	154
1023	667	166
1023	731	182
1023	771	192
1023	822	204
1023	885	220
1023	931	232
1023	973	242
1023	0	0
1023	65	16
1023	117	29
1023	170	42
1023	220	54
1023	264	65
1023	324	80
1023	375	93
1023	423	105
1023	468	116
1023	530	132
1023	577	143
1023	623	155
1023	685	170
1023	734	182
1023	778	193
1023	843	210
1023	886	220
1023	930	231
1023	982	244
1023	9	2
1023	72	17
1023	124	30
1023	175	43
1023	221	55
1023	279	69
1023	330	82
1023	381	94
1023	421	104
1023	485	120
1023	537	133
1023	581	144
1023	640	159
1023	691	172
1023	736	183
1023	782	194
1023	846	210
1023	891	222
1023	933	232
1023	984	245
1023	14	3
1023	78	19
1023	130	32
1023	180	44
1023	234	58
1023	286	71
1023	337	84
1023	383	95
1023	439	109
1023	492	122
1023	537	133
1023	580	144
1023	646	161
1023	694	172
1023	737	183
1023	801	199
1023	849	211
1023	896	223
1023	942	234
1023	999	249
1023	14	3
1023	85	21
1023	136	33
1023	189	47
1023	241	60
1023	291	72
1023	339	84
1023	394	98
1023	446	111
1023	498	124
1023	540	134
1023	601	149
1023	654	163
1023	694	172
1023	741	184
1023	809	201
1023	849	211
1023	893	222
1023	963	240
1023	1003	250
1023	22	5
1023	92	22
1023	143	35
1023	194	48
1023	246	61
1023	298	74
