Frequency,Real part,Imaginary part,Magnitude,Angle
+1.708984E+04,+3.258872E-04,-1.558449E-04,-6.884422E+01,-4.460701E-01
+1.733398E+04,-6.968650E-05,+9.343521E-05,-7.866898E+01,+2.211621E+00
+1.757812E+04,+6.529363E-05,-2.113874E-05,-8.326969E+01,-3.130999E-01
+1.782227E+04,-5.656527E-05,+2.646426E-04,-7.135279E+01,+1.781370E+00
+1.806641E+04,-2.885072E-05,-4.226242E-04,-6.746072E+01,-1.638956E+00
+1.831055E+04,+3.176602E-06,+2.426854E-04,-7.229839E+01,+1.557708E+00
+1.855469E+04,-5.178845E-05,-1.893928E-04,-7.413956E+01,-1.837716E+00
+1.879883E+04,-2.318322E-04,+4.336927E-06,-7.269501E+01,+3.122888E+00
+1.904297E+04,+4.011150E-04,+2.163372E-04,-6.682574E+01,+4.946219E-01
+1.928711E+04,-1.477617E-05,-7.365555E-05,-8.248454E+01,-1.768780E+00
+1.953125E+04,-1.985482E-04,-8.902144E-05,-7.324715E+01,-2.720102E+00
+1.977539E+04,+1.941735E-04,+2.295908E-04,-7.043758E+01,+8.687823E-01
+2.001953E+04,-1.227166E-04,-3.516361E-04,-6.857901E+01,-1.906569E+00
+2.026367E+04,-2.495835E-07,+1.938365E-04,-7.425128E+01,+1.572084E+00
+2.050781E+04,-4.045124E-05,+4.179278E-05,-8.470706E+01,+2.339884E+00
+2.075195E+04,+1.481195E-04,-1.471342E-04,-7.360635E+01,-7.820612E-01
+2.099609E+04,-1.144605E-04,+1.160667E-04,-7.575565E+01,+2.349227E+00
+2.124023E+04,-4.631774E-05,-7.463475E-05,-8.112626E+01,-2.126220E+00
+2.148438E+04,+1.563310E-04,+1.811372E-05,-7.606118E+01,+1.153534E-01
+2.172852E+04,-1.231299E-04,+7.069940E-05,-7.695523E+01,+2.620371E+00
+2.197266E+04,+6.160810E-05,-9.099693E-06,-8.411352E+01,-1.466426E-01
+2.221680E+04,+3.006697E-05,-2.682817E-05,-8.789474E+01,-7.285337E-01
+2.246094E+04,-5.182330E-05,+1.784465E-05,-8.522288E+01,+2.809972E+00
+2.270508E+04,-1.282570E-04,-1.848702E-04,-7.295619E+01,-2.177327E+00
+2.294922E+04,+3.218536E-04,+3.439299E-04,-6.653886E+01,+8.185444E-01
+2.319336E+04,-4.346478E-04,-2.544226E-04,-6.595766E+01,-2.612012E+00
+2.343750E+04,+3.803075E-04,+2.358847E-04,-6.698373E+01,+5.551744E-01
+2.368164E+04,-3.536686E-04,-2.376519E-04,-6.740980E+01,-2.549933E+00
+2.392578E+04,+4.042102E-04,-7.033516E-05,-6.773831E+01,-1.722814E-01
+2.416992E+04,-1.965466E-04,+1.964955E-04,-7.112152E+01,+2.356324E+00
+2.441406E+04,+1.017511E-04,+7.058313E-05,-7.814309E+01,+6.064748E-01
+2.465820E+04,-1.681483E-04,-1.036596E-04,-7.408722E+01,-2.589145E+00
+2.490234E+04,+2.813733E-05,-2.064657E-04,-7.362312E+01,-1.435350E+00
+2.514648E+04,+6.809927E-05,+2.635373E-04,-7.130244E+01,+1.317923E+00
+2.539062E+04,-5.764244E-06,-1.412752E-04,-7.699146E+01,-1.611575E+00
+2.563477E+04,-3.938467E-05,+1.810188E-04,-7.464466E+01,+1.785030E+00
+2.587891E+04,+1.293369E-04,-1.522405E-04,-7.398971E+01,-8.665596E-01
+2.612305E+04,-2.823849E-04,+5.486369E-05,-7.082226E+01,+2.949697E+00
+2.636719E+04,+1.585793E-04,-4.075734E-05,-7.571726E+01,-2.515704E-01
+2.661133E+04,+6.846474E-05,+5.100273E-05,-8.137350E+01,+6.402606E-01
+2.685547E+04,-1.649513E-04,+1.327733E-04,-7.348357E+01,+2.463856E+00
+2.709961E+04,+2.454410E-04,-3.228601E-04,-6.783887E+01,-9.207936E-01
+2.734375E+04,-1.874888E-04,+1.346226E-04,-7.273474E+01,+2.518868E+00
+2.758789E+04,+1.127905E-04,+4.596198E-05,-7.828736E+01,+3.869541E-01
+2.783203E+04,-1.541708E-04,+1.205726E-04,-7.416729E+01,+2.477880E+00
+2.807617E+04,+2.091509E-04,-2.419758E-04,-6.990140E+01,-8.580322E-01
+2.832031E+04,-1.395484E-04,+1.621670E-04,-7.339401E+01,+2.281368E+00
+2.856445E+04,+6.411677E-05,-1.624035E-06,-8.385778E+01,-2.532392E-02
+2.880859E+04,-2.762805E-04,-3.114637E-05,-7.111815E+01,-3.029332E+00
+2.905273E+04,+4.918729E-04,-3.400563E-05,-6.614223E+01,-6.902517E-02
+2.929688E+04,-3.684601E-04,-7.850213E-05,-6.847940E+01,-2.931677E+00
+2.954102E+04,+1.118702E-04,-1.549664E-05,-7.894317E+01,-1.376475E-01
+2.978516E+04,-3.390523E-06,+3.251497E-04,-6.975786E+01,+1.581223E+00
+3.002930E+04,+1.545139E-05,-3.148101E-04,-7.002858E+01,-1.521754E+00
+3.027344E+04,-8.770448E-05,+1.753522E-04,-7.415211E+01,+2.034573E+00
